"Id","ProductID","BatchNo","Qty","MfgDate","ExpiryDate","MRP","SalesCost","Barcode"
"1","1","NSCA040823                    ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"2","2","NSCK110923                    ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"3","3","NSCP120923                    ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"4","4","CF008                         ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"5","5","MEF007                        ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"6","6","MUF007                        ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"7","7","CF009                         ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"8","8","MEF005                        ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"9","9","MUF010                        ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"10","10","B-04                          ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"11","11","B-6                           ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"12","12","B-02                          ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"13","13","CF005                         ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"14","14","MUF004                        ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"15","15","BS2311                        ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"16","16","TSCK100723                    ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"17","17","TSCP030823                    ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"18","18","TSCA040823                    ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"19","19","0                             ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"20","20","0                             ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"21","21","0                             ","0.00","2023-10-01 00:00:00","2023-10-01 00:00:00","","",""
"24","24","EC028                         ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"25","25","REX039                        ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"26","26","19062023                      ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"27","27","01082023P                     ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"28","28","15072023                      ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"29","29","1082023                       ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"30","30","01082023P                     ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"31","31","5052020                       ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"32","32","2                             ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"33","33","45130                         ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"34","34","45130                         ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"35","35","45130                         ","0.00","2023-10-02 00:00:00","2023-10-02 00:00:00","","",""
"36","36","147                           ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"37","37","142                           ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"38","38","REX031                        ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"39","39","230671                        ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"40","40","230673                        ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"41","41","230801                        ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"42","42","01082023P                     ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"43","43","01082023P                     ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"44","44","45039                         ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
"45","45","44949                         ","0.00","2023-10-03 00:00:00","2023-10-03 00:00:00","","",""
