"PRJ_ID","PurchaseReturnID","ProductID","BatchNo","Qty","MRP","Price","ReturnQty","DiscPer","DiscAmt","CGSTPer","CGSTAmt","SGSTPer","SGSTAmt","IGSTPer","IGSTAmt","TotalAmount","MfgDate","ExpiryDate"
"1","1","177","1                                                 ","10.00","350.00","148.00","10.00","0.0000","0.00","9.00","133.20","9.00","133.20","0.00","0.00","1746.40","2024-03-12 00:00:00","2024-03-12 00:00:00"
"2","1","179","                                                  ","10.00","350.00","148.00","9.00","0.0000","0.00","9.00","119.88","9.00","119.88","0.00","0.00","1571.76","2024-03-12 00:00:00","2024-03-12 00:00:00"
"3","1","180","2                                                 ","10.00","350.00","148.00","10.00","0.0000","0.00","9.00","133.20","9.00","133.20","0.00","0.00","1746.40","2024-03-12 00:00:00","2024-03-12 00:00:00"
"4","1","181","3                                                 ","10.00","350.00","148.00","9.00","0.0000","0.00","9.00","119.88","9.00","119.88","0.00","0.00","1571.76","2024-03-12 00:00:00","2024-03-12 00:00:00"
"5","1","182","4                                                 ","10.00","350.00","148.00","9.00","0.0000","0.00","9.00","119.88","9.00","119.88","0.00","0.00","1571.76","2024-03-12 00:00:00","2024-03-12 00:00:00"
"6","1","183","5                                                 ","10.00","350.00","148.00","9.00","0.0000","0.00","9.00","119.88","9.00","119.88","0.00","0.00","1571.76","2024-03-12 00:00:00","2024-03-12 00:00:00"
"7","1","187","6                                                 ","32.00","95.00","56.35","32.00","0.0000","0.00","9.00","162.29","9.00","162.29","0.00","0.00","2127.78","2024-03-12 00:00:00","2024-03-12 00:00:00"
"8","1","188","7                                                 ","32.00","95.00","56.35","32.00","0.0000","0.00","9.00","162.29","9.00","162.29","0.00","0.00","2127.78","2024-03-12 00:00:00","2024-03-12 00:00:00"
"9","1","189","8                                                 ","32.00","95.00","56.35","32.00","0.0000","0.00","9.00","162.29","9.00","162.29","0.00","0.00","2127.78","2024-03-12 00:00:00","2024-03-12 00:00:00"
"10","1","190","9                                                 ","32.00","95.00","56.35","32.00","0.0000","0.00","9.00","162.29","9.00","162.29","0.00","0.00","2127.78","2024-03-12 00:00:00","2024-03-12 00:00:00"
"11","1","184","10                                                ","10.00","200.00","89.00","10.00","0.0000","0.00","6.00","53.40","6.00","53.40","0.00","0.00","996.80","2024-03-12 00:00:00","2024-03-12 00:00:00"
"12","1","185","11                                                ","10.00","200.00","85.00","10.00","0.0000","0.00","6.00","51.00","6.00","51.00","0.00","0.00","952.00","2024-03-12 00:00:00","2024-03-12 00:00:00"
"13","1","186","12                                                ","10.00","325.00","138.00","10.00","0.0000","0.00","9.00","124.20","9.00","124.20","0.00","0.00","1628.40","2024-03-12 00:00:00","2024-03-12 00:00:00"
